Acidiphilium_cryptum_JF-5_NC_009484.1	ACJF
Alphaproteobacteria_bacterium_RIFCSPLOWO2_01_FULL_40_26_MEMO01000010.1	ABRI
Anaplasma_centrale_Israel	AC
Anaplasma_marginale_Florida	AM
Anaplasma_phagocytophilum_HZ	AP
Azospirillum_brasilense_Sp245_NC_016617.1	AB
Bin_135	B135
Bin_49	B49
Bin_69_133	B69
Bin_84	B84
BIN125-1	B125
BIN67-1	B671
BIN67-3	B673
Candidatus_Arcanobacter_lacustris_JYHA01000087.1	CAL
Candidatus_Jidaibacter_acanthamoeba_NZ_JSWE01000124.1	CJA
Candidatus_Midichloria_mitochondrii_IricVA	CMM
Candidatus_Neoehrlichia_lotoris_NZ_LANX01000001.1	CNL
Candidatus_Odyssella_thessalonicensis_L13	COT
Candidatus_Puniceispirillum_marinum_IMCC1322_NC_014010.1	CPM
Candidatus_Xenolissoclinum_pacificiensis_AXCJ01000001.1	CX
Caulobacter_crescentus_CB15_NC_002696.2	CC
Ehrlichia_canis_Jake	ECJ
Ehrlichia_chaffeensis_Arkansas	ECA
Ehrlichia_ruminantium_Gardel	ER
endosymbiont_of_Acanthamoeba_sp_UWC8_NZ_CP004403.1	EA
Neorickettsia_helminthoeca_NZ_CP007481.1	NH
Neorickettsia_risticii_Illinois	NR
Neorickettsia_sennetsu_Miyayama	NS
Orientia_tsutsugamushi_Ikeda	OT
Rhizobium_etli_CFN	RE
Rhodobacter_sphaeroides_2	RS
Rhodospirillum_rubrum_ATCC	RR
Rickettsia_bellii_RML369_C	RB
Rickettsia_felis_URRWXCal2	RF
Rickettsia_prowazekii_Madrid_E	RP
Rickettsia_rickettsii__Sheila_Smith	RRSS
Rickettsiaceae_bacterium_Os18_NZ_CANJ00000000.1	RBOS
Rickettsiales_bacterium_Ac37b_NZ_CP009217.1	RBAC
Wolbachia_endosymbiont_of_Culex_quinquefasciatus_Pel	WECQ
Wolbachia_endosymbiont_of_Drosophila_melanogaster	WEDM
Wolbachia_endosymbiont_of_Onchocerca_ochengi	WEOO
Wolbachia_endosymbiont_TRS_of_Brugia_malayi	WEBM
Zymomonas_mobilis_ATCC	ZM
